date,open,close,volume
2014-09-26,88.15,88.74,5796117
2014-09-29,88.12,88.83,5190828
2014-09-30,88.84,89.03,4832868
2014-10-01,89.08,87.49,7512499
2014-10-02,87.5,86.79,11051144
2014-10-03,88.1,88.45,7552890
2014-10-06,88.79,88.56,4051853
2014-10-07,88.0,87.11,6225508
2014-10-08,87.06,88.11,7007965
2014-10-09,88.03,85.71,8727122
2014-10-10,85.92,86.27,12675546
2014-10-13,85.92,83.91,9039814
2014-10-14,84.75,84.14,8607117
2014-10-15,82.39,82.08,21844427
2014-10-16,79.93,81.74,13216697
2014-10-17,82.68,83.83,12386547
2014-10-20,84.23,85.52,8306147
2014-10-21,86.32,87.54,9170356
2014-10-22,87.94,87.1,9314515
2014-10-23,88.21,87.99,7245328
2014-10-24,87.91,88.61,4937482
2014-10-27,88.47,88.45,5644486
2014-10-28,89.04,89.93,4554351
2014-10-29,89.84,89.53,5442103
2014-10-30,89.44,90.22,4445329
2014-10-31,91.51,91.38,7472216
2014-11-03,91.24,91.71,5447877
2014-11-04,91.97,90.35,7928517
2014-11-05,91.6,91.0,7020959
2014-11-06,91.29,92.0,9938826
2014-11-07,89.39,90.0,16176328
2014-11-10,90.24,89.78,8155734
2014-11-11,90.01,89.98,5896789
2014-11-12,89.77,89.9,5262460
2014-11-13,90.1,90.49,5098761
2014-11-14,90.68,90.8,4281140
2014-11-17,90.5,90.41,4148400
2014-11-18,90.33,90.28,4466404
2014-11-19,90.26,89.82,7709962
2014-11-20,89.25,88.9,8603976
2014-11-21,89.69,88.96,7383521
2014-11-24,89.32,90.58,6504104
2014-11-25,90.71,91.65,7404151
2014-11-26,91.96,91.92,4607258
2014-11-28,92.53,92.51,3852961
2014-12-01,92.63,92.7,6714729
2014-12-02,92.65,93.47,6664201
2014-12-03,93.54,93.11,5492376
2014-12-04,93.61,93.23,6049063
2014-12-05,93.69,93.76,5226807
2014-12-08,94.21,93.8,6682153
2014-12-09,93.51,92.94,9522100
2014-12-10,92.52,91.63,10346075
2014-12-11,91.09,91.75,8227812
2014-12-12,91.18,91.49,7890850
2014-12-15,92.03,90.9,6746824
2014-12-16,90.5,90.17,6549387
2014-12-17,90.36,91.38,6890832
2014-12-18,92.19,92.61,9387548
2014-12-19,92.34,92.89,12837921
2014-12-22,93.39,94.2,7477481
2014-12-23,94.48,94.69,5385780
2014-12-24,94.69,94.42,2166034
2014-12-26,94.74,95.03,3142431
2014-12-29,94.74,95.5,3584362
2014-12-30,95.21,94.7,3490053
2014-12-31,95.13,94.19,4797034
2015-01-02,94.91,93.75,5865420
2015-01-05,93.28,92.38,7789422
2015-01-06,92.57,91.89,6802381
2015-01-07,92.72,92.83,6589494
2015-01-08,93.87,93.79,7579358
2015-01-09,94.05,94.25,8621330
2015-01-12,94.69,94.46,6586223
2015-01-13,95.28,95.19,9364297
2015-01-14,94.0,94.23,6509293
2015-01-15,94.61,94.35,5662230
2015-01-16,94.0,95.18,6117011
2015-01-20,95.22,94.74,7947593
2015-01-21,94.37,94.17,7474730
2015-01-22,94.58,95.15,7014169
2015-01-23,94.92,94.72,4664712
2015-01-26,94.45,94.97,5446906
2015-01-27,93.94,93.97,5390006
2015-01-28,94.14,92.67,6198396
2015-01-29,93.11,93.22,7681669
2015-01-30,92.5,90.96,10212270
2015-02-02,91.3,91.93,9392029
2015-02-03,92.43,94.1,12329105
2015-02-04,99.39,101.28,32640456
2015-02-05,100.76,102.64,14089453
2015-02-06,102.67,102.02,8535248
2015-02-09,101.8,101.73,5461981
2015-02-10,101.96,101.92,5726347
2015-02-11,102.01,101.87,5868228
2015-02-12,102.16,103.58,6816814
2015-02-13,103.73,104.17,5175636
2015-02-17,104.23,104.12,4759334
2015-02-18,103.4,103.86,3760192
2015-02-19,104.0,103.89,5094137
2015-02-20,103.86,104.55,5196956
2015-02-23,104.76,104.99,5587069
2015-02-24,104.54,104.67,4099805
2015-02-25,104.68,105.57,6547243
2015-02-26,105.5,104.56,5048999
2015-02-27,104.67,104.08,4161605
2015-03-02,104.35,105.89,5635530
2015-03-03,105.78,106.35,4671949
2015-03-04,105.86,105.57,4972937
2015-03-05,105.54,105.03,3954726
2015-03-06,104.67,103.82,5704232
2015-03-09,103.94,105.26,4868861
2015-03-10,104.27,103.09,6472601
2015-03-11,103.51,102.89,4831861
2015-03-12,103.85,107.17,10730363
2015-03-13,107.28,106.44,8024216
2015-03-16,106.84,107.37,6407258
2015-03-17,107.0,106.96,4490192
2015-03-18,106.9,107.97,5520550
2015-03-19,107.84,107.37,4885562
2015-03-20,107.83,108.43,8710075
2015-03-23,108.6,108.22,5667034
2015-03-24,107.72,107.11,4493538
2015-03-25,107.45,105.0,6964726
2015-03-26,104.47,105.24,5915844
2015-03-27,105.2,105.48,5330425
2015-03-30,106.06,106.12,3831883
2015-03-31,105.6,104.89,5701609
2015-04-01,105.43,105.44,6117195
2015-04-02,105.49,106.0,3651641
2015-04-06,105.31,105.63,4154218
2015-04-07,105.8,105.43,4694555
2015-04-08,105.23,106.36,4277383
2015-04-09,106.51,106.77,3924416
2015-04-10,106.73,106.95,3251487
2015-04-13,107.07,106.51,4201467
2015-04-14,106.41,106.66,5389283
2015-04-15,106.92,106.98,4307798
2015-04-16,107.15,108.1,6379102
2015-04-17,107.8,106.69,9663490
2015-04-20,107.83,108.22,8094174
2015-04-21,108.93,107.68,4579838
2015-04-22,108.02,107.94,4060485
2015-04-23,107.96,109.0,5983755
2015-04-24,109.53,109.53,6355616
2015-04-27,111.5,110.16,8479080
2015-04-28,110.75,109.92,7324498
2015-04-29,109.66,109.81,6024741
2015-04-30,109.68,108.72,7770301
2015-05-01,109.95,110.52,6205116
2015-05-04,111.48,111.03,7566209
2015-05-05,113.27,110.81,14619307
2015-05-06,111.56,109.72,8975283
2015-05-07,109.6,109.26,8291198
2015-05-08,110.26,110.11,6260611
2015-05-11,110.14,108.6,6728542
2015-05-12,108.28,109.24,6345037
2015-05-13,109.7,109.19,4141357
2015-05-14,109.69,109.93,4662043
2015-05-15,110.1,110.3,5852173
2015-05-18,110.47,110.33,4868918
2015-05-19,110.69,110.56,4549640
2015-05-20,110.78,110.2,4393474
2015-05-21,110.04,110.39,4880577
2015-05-22,110.3,110.26,4267697
2015-05-26,110.17,109.44,5970756
2015-05-27,109.51,110.37,3984196
2015-05-28,110.11,110.53,3391980
2015-05-29,110.33,110.37,5264878
2015-06-01,111.48,110.96,6778890
2015-06-02,110.92,110.75,4425947
2015-06-03,111.28,111.17,4510344
2015-06-04,110.95,110.3,5748198
2015-06-05,110.3,110.3,4323537
2015-06-08,110.03,109.29,6068142
2015-06-09,109.35,108.52,7711756
2015-06-10,108.9,110.0,5128742
2015-06-11,110.01,110.62,5036279
2015-06-12,110.33,109.95,4009859
2015-06-15,109.27,110.18,5742208
2015-06-16,110.35,111.06,3848346
2015-06-17,111.2,111.49,4732297
2015-06-18,111.83,113.22,6929896
2015-06-19,112.83,112.62,9587721
2015-06-22,113.4,113.53,5906156
2015-06-23,113.93,114.41,6003070
2015-06-24,114.3,113.77,5636168
2015-06-25,114.62,114.45,6213483
2015-06-26,114.97,114.99,9509570
2015-06-29,114.16,113.05,7618224
2015-06-30,113.93,114.14,6946744
2015-07-01,114.95,115.13,5435397
2015-07-02,115.38,114.97,5549504
2015-07-06,114.47,115.7,5880490
2015-07-07,116.42,117.1,8359934
2015-07-08,116.5,115.19,8445169
2015-07-09,116.83,115.6,7016849
2015-07-10,117.05,116.44,7020711
2015-07-13,117.75,118.05,7595237
2015-07-14,118.03,117.85,5061659
2015-07-15,118.04,118.3,4845200
2015-07-16,119.0,119.07,6303045
2015-07-17,118.69,118.86,5109909
2015-07-20,119.29,119.58,6950952
2015-07-21,119.76,119.31,4785194
2015-07-22,119.28,119.33,4714082
2015-07-23,119.3,118.8,3347184
2015-07-24,119.35,118.91,4320854
2015-07-27,118.63,118.25,5179267
2015-07-28,118.68,118.46,6447319
2015-07-29,118.85,119.84,6083479
2015-07-30,119.71,120.03,4430097
2015-07-31,120.12,120.0,5767280
2015-08-03,120.88,121.12,8426894
2015-08-04,121.5,121.69,12624387
2015-08-05,110.83,110.53,61011209
2015-08-06,110.4,108.55,57175170
2015-08-07,108.75,109.35,15791550
2015-08-10,110.0,111.0,11617048
2015-08-11,110.34,108.0,13573984
2015-08-12,107.0,106.99,17020546
2015-08-13,107.21,107.52,9754466
2015-08-14,107.61,107.16,7104463
2015-08-17,107.3,109.05,7954040
2015-08-18,108.04,106.94,12021536
2015-08-19,106.58,106.45,9484026
2015-08-20,104.34,100.02,34651279
2015-08-21,97.5,98.84,30875673
2015-08-24,93.38,95.36,30159188
2015-08-25,99.73,95.89,19079443
2015-08-26,98.69,99.23,13755919
2015-08-27,101.35,102.17,17532220
2015-08-28,102.19,102.48,11005241
2015-08-31,102.3,101.88,8518241
2015-09-01,99.31,99.51,14212592
2015-09-02,100.75,101.89,12148187
2015-09-03,102.2,101.99,8953299
2015-09-04,100.96,100.97,9213799
2015-09-08,102.95,104.01,8571506
2015-09-09,104.75,101.91,9577524
2015-09-10,101.85,102.6,9026074
2015-09-11,102.35,104.48,9529778
2015-09-14,104.65,103.82,6959805
2015-09-15,103.25,103.43,9171441
2015-09-16,103.32,103.96,6509738
2015-09-17,104.2,104.2,7792632
2015-09-18,103.2,102.84,13559400
2015-09-21,103.68,103.41,7152324
2015-09-22,102.18,102.49,8330068
2015-09-23,102.44,101.57,5817994
2015-09-24,101.0,100.62,10706825
2015-09-25,101.51,100.3,7179845
2015-09-28,99.9,98.49,8238329
2015-09-29,98.51,99.42,9466944
2015-09-30,100.78,102.2,9189977
2015-10-01,102.97,102.67,7503711
2015-10-02,101.21,103.0,9105646
2015-10-05,103.7,103.85,7144600
2015-10-06,104.19,103.77,5660629
2015-10-07,104.49,103.39,7008280
2015-10-08,103.2,104.61,7499092
2015-10-09,105.09,105.56,7341822
2015-10-12,105.91,106.35,5179044
2015-10-13,105.74,106.59,8342685
